name,province_id
DAZKIRI,3
DİNAR,3
EMİRDAĞ,3
İHSANİYE,3
SANDIKLI,3
SİNANPAŞA,3
SULTANDAĞI,3
ŞUHUT,3
BAŞMAKÇI,3
BAYAT,3
İSCEHİSAR,3
ÇOBANLAR,3
EVCİLER,3
HOCALAR,3
KIZILÖREN,3
AKSEKİ,7
ALANYA,7
ELMALI,7
FİNİKE,7
GAZİPAŞA,7
GÜNDOĞMUŞ,7
KAŞ,7
KORKUTELİ,7
KUMLUCA,7
MANAVGAT,7
SERİK,7
DEMRE,7
İBRADI,7
KEMER,7
AKSU,7
DÖŞEMEALTI,7
KEPEZ,7
KONYAALTI,7
MURATPAŞA,7
MERKEZ,11
BOZÜYÜK,11
GÖLPAZARI,11
OSMANELİ,11
PAZARYERİ,11
SÖĞÜT,11
YENİPAZAR,11
İNHİSAR,11
AĞLASUN,15
BUCAK,15
MERKEZ,15
GÖLHİSAR,15
TEFENNİ,15
YEŞİLOVA,15
KARAMANLI,15
KEMER,15
ALTINYAYLA,15
ÇAVDIR,15
ÇELTİKÇİ,15
ALACA,19
BAYAT,19
MERKEZ,19
İSKİLİP,19
KARGI,19
MECİTÖZÜ,19
ORTAKÖY,19
OSMANCIK,19
SUNGURLU,19
BOĞAZKALE,19
UĞURLUDAĞ,19
DODURGA,19
LAÇİN,19
OĞUZLAR,19
AĞIN,23
BASKİL,23
MERKEZ,23
KARAKOÇAN,23
KEBAN,23
MADEN,23
PALU,23
SİVRİCE,23
ARICAK,23
KOVANCILAR,23
ALACAKAYA,23
ARABAN,27
İSLAHİYE,27
NİZİP,27
OĞUZELİ,27
YAVUZELİ,27
ŞAHİNBEY,27
ŞEHİTKAMİL,27
KARKAMIŞ,27
NURDAĞI,27
ALTINÖZÜ,31
DÖRTYOL,31
HASSA,31
İSKENDERUN,31
KIRIKHAN,31
REYHANLI,31
SAMANDAĞ,31
YAYLADAĞI,31
ERZİN,31
BELEN,31
KUMLU,31
ANTAKYA,31
ARSUZ,31
DEFNE,31
PAYAS,31
ALİAĞA,35
BAYINDIR,35
BERGAMA,35
BORNOVA,35
ÇEŞME,35
DİKİLİ,35
FOÇA,35
KARABURUN,35
KARŞIYAKA,35
KEMALPAŞA,35
KINIK,35
KİRAZ,35
MENEMEN,35
ÖDEMİŞ,35
SEFERİHİSAR,35
SELÇUK,35
TİRE,35
TORBALI,35
URLA,35
BEYDAĞ,35
BUCA,35
KONAK,35
MENDERES,35
BALÇOVA,35
ÇİĞLİ,35
GAZİEMİR,35
NARLIDERE,35
GÜZELBAHÇE,35
BAYRAKLI,35
KARABAĞLAR,35
BABAESKİ,39
DEMİRKÖY,39
MERKEZ,39
KOFÇAZ,39
LÜLEBURGAZ,39
PEHLİVANKÖY,39
PINARHİSAR,39
VİZE,39
ALTINTAŞ,43
DOMANİÇ,43
EMET,43
GEDİZ,43
MERKEZ,43
SİMAV,43
TAVŞANLI,43
ASLANAPA,43
DUMLUPINAR,43
HİSARCIK,43
ŞAPHANE,43
ÇAVDARHİSAR,43
PAZARLAR,43
DERİK,47
KIZILTEPE,47
MAZIDAĞI,47
